ABC Motors
ADC
Aeritalia
Aermacchi
Aero
Aero Commander
Aero Engines
Aero Momentum
Aero Vodochody
Aero-Difusion
Aero-Jodel
Aeromarine
Aeromere
Aeronca
Aeropro
Aerospatiale
Aerospatiale-BAC
Aerospool
Aerotek
AgustaWestland
Airbus
Airbus Defence and Space
Airbus Helicopters
Airbus Helicopters Deutschland
Airconcept
Alenia Aeronautica
Alon
Alpavia
Alvis
Ambrosini
AMD
American Aviation
American Blimp Corporation
American Champion
American Cirrus Engines
American General
AMX International
Antonov
Apollo
Armstrong Siddeley
Armstrong Whitworth
ATR
Auster
Austro Engine
AutoGyro
Aviadvigatel
Aviamilano
Aviat
Avro
Axelson
Ayres
B&F Technik
Beagle
Beechcraft
Beechcraft-Hawker
Beechcraft-SFERMA
Bell
Bell-Boeing
Bellanca
Benes-Mraz
Beriev
Binder-Aviatik
Blackburn
Blackshape
Boeing
Boeing Defense
Boeing Vertol
Boeing-Stearman
Boeing-Saab
Boelkow
Bombardier
Bombardier Learjet
Bristol Siddeley
British Aerospace
British Aircraft Corporation
British Salmson
Britten-Norman
BRM Aero
Buecker
Canadair
CASA
CERVA
Cessna
CFE Company
CFM International
Champion
Cirrus
COMAC
Comco Ikarus
Comet
Commonwealth
Continental
Coopavia
Costruzioni Motori Diesel
Curtiss
Daher
Dassault
DeHavilland
DeHavilland Canada
Diamond
DieselJet
Dittmar
Dornier
Douglas
Draline
EAC
Ecofly
Edgar Percival
Elizalde
Embraer
Engine Alliance
ERCO
Europrop International
Extra
Fairchild
Fairchild Swearingen
FD-Composites
FFT
Flight Design
Focke-Wulf
Fokker
Ford
Forney
Foxcon Aviation
Franklin
Fuji
GE Aviation Czech
GE Honda Aero Engines
General Electric
Globe
Great Lakes
Grob
Grumman
Grumman American
Gulf Coast
Gulfstream Aerospace
Gulfstream American
Handley Page
Harbin-Embraer
Hawker Beechcraft
Hawker Siddeley
HB Flugtechnik
HELFF
Hirth
Hispano-Suiza
Hoffmann
Honda
Honeywell
Howard
Hughes
ICP
Ilyushin
Interceptor
International Aero Engines
Irkut
Ishikawajima-Harima
Israel Aerospace Industries
Issoire Aviation
Jabiru
Jacobs
Jodel
JPX
Kamov
Kawasaki
Kazan Helicopters
Ken Royce
Kinner
Klemm
Klimov
Kuehn
Lake Aircraft
Lancair
Lange
Laverda
LeBlond
Lenape
Leonardo
Let
LHTEC
Limbach
Lockheed-Azcarate
LOM Praha
Luftschiffbau Zeppelin
Luscombe
Lycoming
M&D Flugzeugbau
Magnaghi Aeronautica
Maule
MBB
MBB-Kawasaki
McClatchie
McDonnell-Douglas
MD Helicopters
Menasco
Meyers
Michigan Aero-Engine Corporation
Mikoyan-Gurevich
Mil
Miles
Milwaukee Parts Corporation
Mitsubishi
Mooney
Morane-Saulnier
Motor Sich
Motorstar
MTR
MTRI
MTU Aero Engines
Mudry
Nelson
Nextant Aerospace
NHIndustries
Noorduyn
North American
Northrop
Northrop Grumman
Oberlerchner
Orlican
Parma-Technik
PBS Aerospace
Piaggio
Piel
Pieper
Pilatus
Pioneer International Aircraft
Piper
Pipistrel
Pitts
Pollmann
Porsche
Potez
PowerJet
Pratt & Whitney
Pratt & Whitney Canada
Pratt & Whitney Rzeszow
PZL Kalisz
PZL Mielec
PZL Rzeszow
PZL Swidnik
PZL Warszawa-Okecie
Quest
Ranger
RED
Reims
Reims-Cessna
Remos
Rhein-Flugzeugbau
Robin
Robinson
Rockwell
Rolls-Royce
Rotax
Ryan
Saab
Safran Aircraft Engines
Safran Helicopter Engines
SAI
SAN
Sauer
Schempp-Hirth
Scintex
Scottish Aviation
Short Brothers
SIAI-Marchetti
Siemens-Halske
Sikorsky
Snow
SOCATA
Solo
Soloy Aviation Solutions
Stark Flugzeugbau
Stearman
Stinson
Subaru
Swearingen
Szekely
Technify Motors
Tecnam
Thrush
Transall
Trixy Aviation
Tupolev
ULBI
ULPower Aero Engines
Velie
Vickers
Vickers-Armstrongs
Volaircraft
Vulcanair
Walter
Warner
Wassmer
WDL Luftschiffgesellschaft
Westermayer
Williams
Wright
Xenoah
Yakovlev
Zenair
Zenith
Zlin
